"Dates","MISC MK Equity","PBK MK Equity","HAP MK Equity","KLK MK Equity","HLBK MK Equity","PTG MK Equity","TOPG MK Equity","GENM MK Equity","DIGI MK Equity","CIMB MK Equity","SUCB MK Equity","AXIATA MK Equity","PEP MK Equity","MAXIS MK Equity","HART MK Equity","SIME MK Equity","PCHEM MK Equity","NESZ MK Equity","DLG MK Equity","MAY MK Equity","TNB MK Equity","PETD MK Equity","T MK Equity","GENT MK Equity","IOI MK Equity","HLFG MK Equity","RHBBANK MK Equity","SDPL MK Equity","IHH MK Equity","PMAH MK Equity","MRDIY MK Equity","KLCCSS MK Equity","AMM MK Equity","MAHB MK Equity","IJM MK Equity","ROTH MK Equity","YTL MK Equity","WPRTS MK Equity","ASTRO MK Equity","SAPE MK Equity","UMWH MK Equity","FGV MK Equity","IOIPG MK Equity","UEMS MK Equity","BAB MK Equity","YTLP MK Equity","MMHE MK Equity","AAGB MK Equity","GAM MK Equity"
20-Dec-16,5.85347,3.35669,6.96451,21.3296,11.66564,16.67904,0.69675,3.6836,4.15224,3.79638,0.43883,4.11993,12.04653,5.06901,2.1307,1.4247,5.84475,70.73188,1.45199,5.71688,10.4521,20.26017,5.22825,6.86649,3.84863,13.70992,3.96448,,6.17975,0.79868,,6.3073,3.77937,5.86802,2.94102,32.96009,1.25704,3.63913,1.99029,1.55557,4.3079,1.50614,1.65868,1.04538,0.62,1.06678,0.84912,1.2631,4.33884
21-Dec-16,5.86145,3.37033,7.00751,21.4916,11.61309,17.12381,0.70079,3.66779,4.15224,3.77168,0.43675,4.1471,12.07699,5.06901,2.13517,1.42821,5.86174,70.371,1.45199,5.72409,10.51313,20.50157,5.28976,6.74587,3.88386,13.52712,3.92336,,6.22825,0.79868,,6.29924,3.80526,5.8024,2.92314,33.05039,1.28137,3.63068,1.99771,1.58492,4.32563,1.53403,1.66693,1.05524,0.61,1.06678,0.8443,1.2273,4.32989
22-Dec-16,5.85347,3.35669,6.99031,21.3836,11.56054,16.91731,0.71289,3.63617,4.14394,3.74697,0.44922,4.09277,12.09222,5.0351,2.1307,1.4212,5.87024,70.94841,1.45199,5.67362,10.4521,20.39811,5.24582,6.78895,3.84863,13.65508,3.874,,6.16034,0.79868,,6.25891,3.74486,5.77428,2.89632,32.50858,1.26515,3.65601,1.98286,1.62406,4.23699,1.51544,1.66693,1.05524,0.615,1.05937,0.85395,1.19662,4.33884
23-Dec-16,5.76562,3.35669,6.99891,21.3116,11.49048,16.77434,0.70886,3.60455,4.12733,3.76344,0.44299,4.08371,12.00084,5.08596,2.07698,1.41244,5.85325,70.42514,1.45199,5.60153,10.43684,20.20844,5.1931,6.71141,3.85744,13.454,3.84933,,6.16034,0.79396,,6.21052,3.67583,5.64305,2.86951,32.35808,1.24082,3.58846,1.96801,1.59471,4.15722,1.48755,1.67519,1.05524,0.61,1.05196,0.84912,1.20173,4.29411
27-Dec-16,5.78958,3.34304,7.0505,21.3116,11.45545,17.07616,0.69272,3.59665,4.09411,3.77168,0.44091,4.08371,12.07699,5.04358,2.09489,1.4177,5.85325,70.371,1.46155,5.5799,10.4521,20.38087,5.21067,6.7028,3.84863,13.28948,3.82465,,6.17004,0.77978,,6.14599,3.76211,5.60555,2.84269,31.99687,1.24082,3.57158,1.97544,1.56536,4.14835,1.39457,1.66693,1.04538,0.605,1.05937,0.85395,1.18128,4.29411
28-Dec-16,5.81354,3.35327,7.46321,21.3116,11.42042,16.88554,0.68599,3.59665,4.09411,3.77168,0.43883,4.07466,12.06176,5.02663,2.06803,1.4177,5.86174,69.91991,1.46155,5.61595,10.39107,20.26017,5.23703,6.67695,3.90148,13.21636,3.82465,,6.16034,0.7656,,6.16212,3.67583,5.5868,2.85163,32.35808,1.24893,3.58002,1.94573,1.60449,4.13062,1.44106,1.65868,1.05524,0.605,1.06678,0.85877,1.13526,4.27622
29-Dec-16,5.91735,3.35669,7.61797,21.3476,11.45545,16.93319,0.70348,3.60455,4.10242,3.76344,0.44091,4.13804,12.10745,5.16225,2.09936,1.4177,5.83626,69.68534,1.46155,5.71688,10.37581,20.26017,5.31612,6.84064,3.83102,13.12496,3.82465,,6.11184,0.7656,,6.29117,3.71897,5.64305,2.85163,32.58383,1.24893,3.63913,1.97544,1.59471,4.14835,1.43176,1.68344,1.04538,0.61,1.06678,0.88289,1.19151,4.29411
30-Dec-16,5.91735,3.3601,7.31704,21.6896,11.57806,16.99673,0.71155,3.61246,4.11072,3.75521,0.44091,4.13804,12.19882,5.06901,2.13965,1.42821,5.92121,70.73188,1.4711,5.74572,10.52839,20.32914,5.3249,6.8148,3.89267,12.99701,3.89868,,6.15064,0.75615,,6.41216,3.6672,5.6243,2.86951,32.37313,1.26515,3.63913,1.96801,1.62406,4.1129,1.43176,1.71645,1.03552,0.61,1.05937,0.87807,1.17105,4.27622
03-Jan-17,5.78958,3.3601,7.4804,21.5816,11.7357,16.88554,0.71693,3.61246,4.03598,3.7305,0.43883,4.13804,12.07699,5.07749,2.14413,1.41945,5.9297,69.93795,1.4711,5.78176,10.6352,20.51881,5.22825,6.84926,3.87505,12.97873,3.8411,,6.16034,0.75615,,6.45249,3.69308,5.63367,2.86057,32.67414,1.24893,3.61379,1.94573,1.59471,4.05085,1.44106,1.73295,1.03552,0.605,1.0816,0.88289,1.17617,4.3034
04-Jan-17,5.82951,3.37033,7.56639,21.7436,11.77073,17.06027,0.70886,3.62036,4.03598,3.73874,0.43883,4.10182,12.21405,5.11987,2.16651,1.43522,5.95519,70.55144,1.46155,5.77455,10.49788,20.62226,5.23703,6.85787,3.9367,13.30776,3.86578,,6.19915,0.79868,,6.3315,3.71034,5.76491,2.88738,33.4116,1.24893,3.6729,1.94573,1.63384,3.97107,1.56192,1.73295,1.04538,0.645,1.11123,0.95526,1.18128,4.33963
